CNPJ;UF;Ente Federativo;Regime
14215826000182;BA;Paripiranga;RGPS
13682299000153;BA;Pau Brasil;RGPS
14217327000124;BA;Paulo Afonso;RGPS
13232913000185;BA;Pé de Serra;RGPS
13648241000193;BA;Pedrão;RGPS
14216238000163;BA;Pedro Alexandre;RGPS
13675681000130;BA;Piatã;RGPS
13692033000191;BA;Pilão Arcado;RGPS
13982624000101;BA;Pindaí;RGPS
13908710000166;BA;Pindobaçu;RGPS
13896725000151;BA;Pintadas;RGPS
13071220000158;BA;Piraí do Norte;RGPS
13694658000192;BA;Piripá;RGPS
13795786000122;BA;Piritiba;RGPS
13769021000118;BA;Planaltino;RGPS
13858907000138;BA;Planalto;RGPS
14242200000165;BA;Poções;RGPS
13806237000106;BA;Pojuca;RGPS
16444143000122;BA;Ponto Novo;RPPS
13635016000112;BA;Porto Seguro;RGPS
13752191000190;BA;Potiraguá;RGPS
13761713000110;BA;Prado;RGPS
13717798000139;BA;Presidente Dutra;RGPS
14120539000199;BA;Presidente Jânio Quadros;RGPS
13071253000106;BA;Presidente Tancredo Neves;RGPS
14218952000190;BA;Queimadas;RGPS
13698782000126;BA;Quijingue;RGPS
16443723000103;BA;Quixabeira;RPPS
13195862000169;BA;Rafael Jambeiro;RGPS
13909247000177;BA;Remanso;RGPS
13844220000143;BA;Retirolândia;RGPS
14100747000126;BA;Riachão das Neves;RGPS
14043269000160;BA;Riachão do Jacuípe;RGPS
14105191000160;BA;Riacho de Santana;RGPS
13809405000117;BA;Ribeira do Amparo;RGPS
13809397000109;BA;Ribeira do Pombal;RGPS
16418683000131;BA;Ribeirão do Largo;RPPS
14263859000106;BA;Rio de Contas;RGPS
13678008000153;BA;Rio do Antônio;RGPS
13783279000179;BA;Rio do Pires;RGPS
15088800000183;BA;Rio Real;RGPS
14217350000119;BA;Rodelas;RGPS
13810833000160;BA;Ruy Barbosa;RGPS
13743281000114;BA;Salinas da Margarida;RGPS
13927801000149;BA;Salvador;RPPS
13626908000157;BA;Santa Bárbara;RGPS
14217368000110;BA;Santa Brígida;RGPS
13635008000176;BA;Santa Cruz Cabrália;RGPS
14147912000103;BA;Santa Cruz da Vitória;RGPS
14199921000130;BA;Santa Inês;RGPS
13269634000196;BA;Santa Luzia;RGPS
13912506000119;BA;Santa Maria da Vitória;RPPS
13880711000140;BA;Santa Rita de Cássia;RGPS
13693650000101;BA;Santa Teresinha;RGPS
